network,architecture,energy_model,optical_loss_db_per_stage,mapping,stationarity,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status
gpt2_medium,c8_r16,conservative_walden,0.5,ASWM-WS,WS,145,150.9307004141778,4.525968588800001,683.1076091601522,60338,,NOT_MODELED
gpt2_medium,c8_r16,conservative_walden,1.0,ASWM-WS,WS,145,151.05827896222561,4.525968588800001,683.6850256612212,60338,,NOT_MODELED
alexnet,c8_r4,optimistic_constant_symbol,0.0,ASWM-WS,WS,8,1.3379992977889474,0.0307974144,0.04120691884091522,1,,NOT_MODELED
alexnet,c8_r4,optimistic_constant_symbol,0.5,ASWM-WS,WS,8,1.3386856866387296,0.0307974144,0.0412280578427615,1,,NOT_MODELED
alexnet,c8_r4,optimistic_constant_symbol,1.0,ASWM-WS,WS,8,1.3394558275950124,0.0307974144,0.04125177619293855,1,,NOT_MODELED
alexnet,c8_r4,linear_bit,0.0,ASWM-WS,WS,8,3.5688395059189952,0.0307974144,0.10991102919087856,105,,NOT_MODELED
alexnet,c8_r4,linear_bit,0.5,ASWM-WS,WS,8,3.569525894768778,0.0307974144,0.10993216819272485,105,,NOT_MODELED
alexnet,c8_r4,linear_bit,1.0,ASWM-WS,WS,8,3.5702960357250606,0.0307974144,0.10995588654290189,102,,NOT_MODELED
alexnet,c8_r4,conservative_walden,0.0,ASWM-WS,WS,8,3.1780098220972226,0.0615948288,0.19574897091679688,246,,NOT_MODELED
alexnet,c8_r4,conservative_walden,0.5,ASWM-WS,WS,8,3.182648456715813,0.0615948288,0.1960346868219947,246,,NOT_MODELED
alexnet,c8_r4,conservative_walden,1.0,ASWM-WS,WS,8,3.189200702270357,0.0615948288,0.1964382712651824,241,,NOT_MODELED
gpt2_medium,c8_r4,optimistic_constant_symbol,0.0,ASWM-WS,WS,145,143.6711675285575,2.262905651200001,325.11429691487484,1,,NOT_MODELED
gpt2_medium,c8_r4,optimistic_constant_symbol,0.5,ASWM-WS,WS,145,143.72472989415417,2.262905651200001,325.2355034946752,1,,NOT_MODELED
