network,architecture,variant,slice_bits,energy_model,optical_loss_db_per_stage,accuracy_status,layers,energy_j,latency_s,edp_j_s
mobilenet_v3,c4_r8,analog8,8,optimistic_constant_symbol,0.0,NOT_MODELED,64,0.9589706846799402,0.005715008000000001,0.005480525134711336
mobilenet_v3,c4_r8,analog8,8,optimistic_constant_symbol,0.5,NOT_MODELED,64,0.9589706846799402,0.005715008000000001,0.005480525134711336
mobilenet_v3,c4_r8,analog8,8,optimistic_constant_symbol,1.0,NOT_MODELED,64,0.9589706846799402,0.005715008000000001,0.005480525134711336
mobilenet_v3,c4_r8,analog8,8,linear_bit,0.0,NOT_MODELED,64,2.581038279183078,0.005715008000000001,0.014750654413837525
mobilenet_v3,c4_r8,analog8,8,linear_bit,0.5,NOT_MODELED,64,2.581038279183078,0.005715008000000001,0.014750654413837525
mobilenet_v3,c4_r8,analog8,8,linear_bit,1.0,NOT_MODELED,64,2.581038279183078,0.005715008000000001,0.014750654413837525
mobilenet_v3,c4_r8,analog8,8,conservative_walden,0.0,NOT_MODELED,64,59.816851970936646,0.005715008000000001,0.34185378754871876
mobilenet_v3,c4_r8,analog8,8,conservative_walden,0.5,NOT_MODELED,64,59.816851970936646,0.005715008000000001,0.34185378754871876
mobilenet_v3,c4_r8,analog8,8,conservative_walden,1.0,NOT_MODELED,64,59.816851970936646,0.005715008000000001,0.34185378754871876
mobilenet_v3,c4_r16,mbosa2,2,optimistic_constant_symbol,0.0,NOT_MODELED,64,0.5732488564900963,0.0411757568,0.023603955500714303
mobilenet_v3,c4_r16,mbosa2,2,optimistic_constant_symbol,0.5,NOT_MODELED,64,0.5738804143164593,0.0411757568,0.023629960372177766
mobilenet_v3,c4_r16,mbosa2,2,optimistic_constant_symbol,1.0,NOT_MODELED,64,0.5747725134577975,0.0411757568,0.023666693229462993
mobilenet_v3,c4_r16,mbosa2,2,linear_bit,0.0,NOT_MODELED,64,0.8044535367008612,0.0411757568,0.033123983184094534
mobilenet_v3,c4_r16,mbosa2,2,linear_bit,0.5,NOT_MODELED,64,0.8050850945272241,0.0411757568,0.03314998805555799
mobilenet_v3,c4_r16,mbosa2,2,linear_bit,1.0,NOT_MODELED,64,0.8059771936685622,0.0411757568,0.033186720912843214
mobilenet_v3,c4_r16,mbosa2,2,conservative_walden,0.0,NOT_MODELED,64,1.0356582169116257,0.0411757568,0.04264401086747475
mobilenet_v3,c4_r16,mbosa2,2,conservative_walden,0.5,NOT_MODELED,64,1.036289774737989,0.0411757568,0.042670015738938215
mobilenet_v3,c4_r16,mbosa2,2,conservative_walden,1.0,NOT_MODELED,64,1.0371818738793273,0.0411757568,0.04270674859622345
mobilenet_v3,c8_r4,mbosa4,4,optimistic_constant_symbol,0.0,NOT_MODELED,64,0.44649369632385205,0.008670336,0.0038712503690097625
mobilenet_v3,c8_r4,mbosa4,4,optimistic_constant_symbol,0.5,NOT_MODELED,64,0.44668565076923017,0.008670336,0.0038729146785478844
mobilenet_v3,c8_r4,mbosa4,4,optimistic_constant_symbol,1.0,NOT_MODELED,64,0.44690102719932984,0.008670336,0.003874782064563329
mobilenet_v3,c8_r4,mbosa4,4,linear_bit,0.0,NOT_MODELED,64,1.199595250951436,0.008670336,0.01040089388975327
