energy_model,optical_loss_db_per_stage,mapping,architecture,geometric_mean_edp,rank
linear_bit,1.0,ASWM-IS,c4_r32,2.8567077549188373,2
linear_bit,1.0,ASWM-IS,c8_r16,3.2218317071226465,3
linear_bit,1.0,ASWM-IS,c4_r16,6.206012449171614,4
linear_bit,1.0,ASWM-IS,paper_optimum_8x8,6.909064989287389,5
linear_bit,1.0,ASWM-IS,c4_r8,17.62116120029405,6
linear_bit,1.0,ASWM-IS,c8_r4,18.26302580381374,7
linear_bit,1.0,ASWM-IS,compact_4x4,44.35203675086864,8
linear_bit,1.0,ASWM-WS,c8_r32,1.2938856422431686,1
linear_bit,1.0,ASWM-WS,c8_r16,1.5598789960457395,2
linear_bit,1.0,ASWM-WS,paper_optimum_8x8,2.1016915501711497,3
linear_bit,1.0,ASWM-WS,c4_r32,2.1575772689786183,4
linear_bit,1.0,ASWM-WS,c4_r16,2.225067239144082,5
linear_bit,1.0,ASWM-WS,c4_r8,3.0944410132898232,6
linear_bit,1.0,ASWM-WS,c8_r4,3.4063967683392504,7
linear_bit,1.0,ASWM-WS,compact_4x4,5.139108630889416,8
linear_bit,1.0,Joint-ASWM,c8_r32,0.966274320063574,1
linear_bit,1.0,Joint-ASWM,c8_r16,1.3797776216132014,2
linear_bit,1.0,Joint-ASWM,c4_r32,1.675754615021463,3
linear_bit,1.0,Joint-ASWM,paper_optimum_8x8,2.1016915501711497,4
linear_bit,1.0,Joint-ASWM,c4_r16,2.130343489243708,5
linear_bit,1.0,Joint-ASWM,c4_r8,3.0944410132898232,6
linear_bit,1.0,Joint-ASWM,c8_r4,3.4063967683392504,7
linear_bit,1.0,Joint-ASWM,compact_4x4,5.139108630889416,8
linear_bit,1.0,Mixed-1bit,c8_r32,5.824129409387066,1
linear_bit,1.0,Mixed-1bit,c8_r16,6.744899341575938,2
linear_bit,1.0,Mixed-1bit,paper_optimum_8x8,7.57077855555709,3
linear_bit,1.0,Mixed-1bit,c4_r32,7.794831568862393,4
linear_bit,1.0,Mixed-1bit,c4_r16,7.9109587620307025,5
linear_bit,1.0,Mixed-1bit,c4_r8,8.230476830624038,6
linear_bit,1.0,Mixed-1bit,c8_r4,9.428986913958088,7
linear_bit,1.0,Mixed-1bit,compact_4x4,10.596862752031154,8
optimistic_constant_symbol,0.0,ASWM-IS,c8_r32,1.0602607852868375,1
optimistic_constant_symbol,0.0,ASWM-IS,c4_r32,1.9968397371840505,2
optimistic_constant_symbol,0.0,ASWM-IS,c8_r16,2.213651793731823,3
optimistic_constant_symbol,0.0,ASWM-IS,c4_r16,4.311313415707212,4
optimistic_constant_symbol,0.0,ASWM-IS,paper_optimum_8x8,4.749358015445276,5
optimistic_constant_symbol,0.0,ASWM-IS,c4_r8,13.401277062617941,6
optimistic_constant_symbol,0.0,ASWM-IS,c8_r4,13.440351153615019,7
optimistic_constant_symbol,0.0,ASWM-IS,compact_4x4,34.39886029673752,8
optimistic_constant_symbol,0.0,ASWM-WS,c8_r16,0.8615284620481124,1
optimistic_constant_symbol,0.0,ASWM-WS,c8_r32,0.8740419345703494,2
optimistic_constant_symbol,0.0,ASWM-WS,paper_optimum_8x8,0.9477046220404991,3
optimistic_constant_symbol,0.0,ASWM-WS,c4_r16,1.1126886943189758,4
optimistic_constant_symbol,0.0,ASWM-WS,c4_r8,1.2248092598013494,5
optimistic_constant_symbol,0.0,ASWM-WS,c8_r4,1.3049802497672258,6
optimistic_constant_symbol,0.0,ASWM-WS,c4_r32,1.3849503093435311,7
optimistic_constant_symbol,0.0,ASWM-WS,compact_4x4,1.7322955790339474,8
optimistic_constant_symbol,0.0,Joint-ASWM,c8_r32,0.6995671712914597,1
optimistic_constant_symbol,0.0,Joint-ASWM,c8_r16,0.8211164272487288,2
optimistic_constant_symbol,0.0,Joint-ASWM,paper_optimum_8x8,0.9477046220404991,3
optimistic_constant_symbol,0.0,Joint-ASWM,c4_r16,1.1126886943189758,4
optimistic_constant_symbol,0.0,Joint-ASWM,c4_r32,1.1728250870742942,5
optimistic_constant_symbol,0.0,Joint-ASWM,c4_r8,1.2248092598013494,6
optimistic_constant_symbol,0.0,Joint-ASWM,c8_r4,1.3049802497672258,7
optimistic_constant_symbol,0.0,Joint-ASWM,compact_4x4,1.7322955790339474,8
optimistic_constant_symbol,0.0,Mixed-1bit,c8_r32,5.788812889236487,1
optimistic_constant_symbol,0.0,Mixed-1bit,c8_r16,6.670693885138854,2
optimistic_constant_symbol,0.0,Mixed-1bit,paper_optimum_8x8,7.406576952513509,3
