network,architecture,energy_model,optical_loss_db_per_stage,layer,slice_bits,energy_j,latency_s,accuracy,accuracy_status
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/127,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/128,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/129,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/130,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/131,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/132,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/133,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/134,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/135,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/136,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/137,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/138,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/139,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/140,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/141,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/142,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/143,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/144,4,12.081673445114237,0.3294625792,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/000,4,0.6000829593947121,0.0201326592,,NOT_MODELED
