network,architecture,energy_model,optical_loss_db_per_stage,mapping,stationarity,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status,best_fixed_stationarity,best_fixed_slice_bits,fixed_edp_j_s,aswm_reduction_vs_best_fixed
vgg16,c8_r4,optimistic_constant_symbol,0.0,ASWM-WS,WS,16,38.49576094577772,0.6851633151999998,26.375883190755744,1,,NOT_MODELED,WS,4,26.375883190755744,0.0
vgg16,c8_r4,optimistic_constant_symbol,0.5,ASWM-WS,WS,16,38.51197190265309,0.6851633151999998,26.386990343711034,1,,NOT_MODELED,WS,4,26.38699034371104,2.220446049250313e-16
vgg16,c8_r4,optimistic_constant_symbol,1.0,ASWM-WS,WS,16,38.530160895429134,0.6851633151999998,26.39945277430162,1,,NOT_MODELED,WS,4,26.399452774301633,5.551115123125783e-16
vgg16,c8_r4,linear_bit,0.0,ASWM-WS,WS,16,93.13477688610308,0.6851633151999998,63.812532491694704,776,,NOT_MODELED,WS,4,63.81253249169472,2.220446049250313e-16
vgg16,c8_r4,linear_bit,0.5,ASWM-WS,WS,16,93.15098784297845,0.6851633151999998,63.82363964465,776,,NOT_MODELED,WS,4,63.82363964465001,1.1102230246251565e-16
vgg16,c8_r4,linear_bit,1.0,ASWM-WS,WS,16,93.16917683575451,0.6851633151999998,63.836102075240596,643,,NOT_MODELED,WS,4,63.8361020752406,1.1102230246251565e-16
vgg16,c8_r4,conservative_walden,0.0,ASWM-WS,WS,16,82.740845826291,1.3703266303999997,113.38198445758721,2122,,NOT_MODELED,WS,2,113.38198445758725,3.3306690738754696e-16
vgg16,c8_r4,conservative_walden,0.5,ASWM-WS,WS,16,82.85025336921244,1.3703266303999997,113.5319085272191,2122,,NOT_MODELED,WS,2,113.5319085272191,0.0
vgg16,c8_r4,conservative_walden,1.0,ASWM-WS,WS,16,83.00479563125386,1.3703266303999997,113.74368190441672,2122,,NOT_MODELED,WS,2,113.7436819044167,-2.220446049250313e-16
gpt2_medium,c4_r32,optimistic_constant_symbol,0.0,ASWM-WS,WS,145,117.13456290161938,2.2629842944000007,265.0736761777736,1,,NOT_MODELED,WS,4,265.0736761777736,0.0
gpt2_medium,c4_r32,optimistic_constant_symbol,0.5,ASWM-WS,WS,145,117.14125819572116,2.2629842944000007,265.08882752317237,1,,NOT_MODELED,WS,4,265.0888275231725,4.440892098500626e-16
gpt2_medium,c4_r32,optimistic_constant_symbol,1.0,ASWM-WS,WS,145,117.14877043926063,2.2629842944000007,265.10582761231785,1,,NOT_MODELED,WS,4,265.1058276123175,-1.3322676295501878e-15
gpt2_medium,c4_r32,linear_bit,0.0,ASWM-WS,WS,145,176.97378714577482,2.2629842944000007,400.4889008313771,61538,,NOT_MODELED,WS,4,400.4889008313765,-1.5543122344752192e-15
gpt2_medium,c4_r32,linear_bit,0.5,ASWM-WS,WS,145,176.98048243987643,2.2629842944000007,400.5040521767755,61538,,NOT_MODELED,WS,4,400.5040521767754,-2.220446049250313e-16
gpt2_medium,c4_r32,linear_bit,1.0,ASWM-WS,WS,145,176.98799468341565,2.2629842944000007,400.52105226592045,61538,,NOT_MODELED,WS,4,400.52105226592045,0.0
gpt2_medium,c4_r32,conservative_walden,0.0,ASWM-WS,WS,145,190.03716527320904,4.525968588800001,860.1022407311385,60578,,NOT_MODELED,WS,2,860.1022407311382,-4.440892098500626e-16
gpt2_medium,c4_r32,conservative_walden,0.5,ASWM-WS,WS,145,190.08231571619132,4.525968588800001,860.3065902178467,60578,,NOT_MODELED,WS,2,860.3065902178461,-8.881784197001252e-16
gpt2_medium,c4_r32,conservative_walden,1.0,ASWM-WS,WS,145,190.14609241205991,4.525968588800001,860.5952415400454,60578,,NOT_MODELED,WS,2,860.5952415400451,-4.440892098500626e-16
vision_transformer,c8_r16,optimistic_constant_symbol,0.0,ASWM-WS,WS,98,13.844270767387814,0.4214449151999999,5.834597519567595,1,,NOT_MODELED,WS,4,5.834597519567604,1.5543122344752192e-15
vision_transformer,c8_r16,optimistic_constant_symbol,0.5,ASWM-WS,WS,98,13.8467576136617,0.4214449151999999,5.835645588284607,1,,NOT_MODELED,WS,4,5.835645588284615,1.3322676295501878e-15
vision_transformer,c8_r16,optimistic_constant_symbol,1.0,ASWM-WS,WS,98,13.84954790107402,0.4214449151999999,5.8368215407264765,1,,NOT_MODELED,WS,4,5.83682154072648,5.551115123125783e-16
vision_transformer,c8_r16,linear_bit,0.0,ASWM-WS,WS,98,24.987402185473695,0.4214449151999999,10.530813595125252,10356,,NOT_MODELED,WS,4,10.530813595125261,8.881784197001252e-16
vision_transformer,c8_r16,linear_bit,0.5,ASWM-WS,WS,98,24.989889031747573,0.4214449151999999,10.531861663842264,10356,,NOT_MODELED,WS,4,10.531861663842271,6.661338147750939e-16
vision_transformer,c8_r16,linear_bit,1.0,ASWM-WS,WS,98,24.9926793191599,0.4214449151999999,10.533037616284135,10356,,NOT_MODELED,WS,4,10.533037616284139,3.3306690738754696e-16
vision_transformer,c8_r16,conservative_walden,0.0,ASWM-WS,WS,98,27.61871426419568,0.8428898303999998,23.279533382013952,16922,,NOT_MODELED,WS,2,23.279533382013962,4.440892098500626e-16
vision_transformer,c8_r16,conservative_walden,0.5,ASWM-WS,WS,98,27.635530047058467,0.8428898303999998,23.29370723437921,16922,,NOT_MODELED,WS,2,23.293707234379234,1.1102230246251565e-15
vision_transformer,c8_r16,conservative_walden,1.0,ASWM-WS,WS,98,27.659282971694406,0.8428898303999998,23.313728332997098,16922,,NOT_MODELED,WS,2,23.313728332997098,0.0
mobilenet_v3,paper_optimum_8x8,optimistic_constant_symbol,0.0,ASWM-WS,WS,64,0.3591281775987993,0.011831424000000004,0.004248997739518697,1,,NOT_MODELED,WS,4,0.004248997739518699,4.440892098500626e-16
mobilenet_v3,paper_optimum_8x8,optimistic_constant_symbol,0.5,ASWM-WS,WS,64,0.3592606111462997,0.011831424000000004,0.004250564616970999,1,,NOT_MODELED,WS,4,0.004250564616970999,0.0
mobilenet_v3,paper_optimum_8x8,optimistic_constant_symbol,1.0,ASWM-WS,WS,64,0.35940920403056376,0.011831424000000004,0.00425232268238811,1,,NOT_MODELED,WS,4,0.00425232268238811,0.0
mobilenet_v3,paper_optimum_8x8,linear_bit,0.0,ASWM-WS,WS,64,0.8477810620569368,0.011831424000000004,0.010030457204365935,139524,,NOT_MODELED,WS,4,0.010030457204365935,0.0
mobilenet_v3,paper_optimum_8x8,linear_bit,0.5,ASWM-WS,WS,64,0.8479134956044379,0.011831424000000004,0.010032024081818244,138099,,NOT_MODELED,WS,4,0.010032024081818235,-8.881784197001252e-16
mobilenet_v3,paper_optimum_8x8,linear_bit,1.0,ASWM-WS,WS,64,0.8480620884887012,0.011831424000000004,0.010033782147235347,135441,,NOT_MODELED,WS,4,0.010033782147235347,0.0
mobilenet_v3,paper_optimum_8x8,conservative_walden,0.0,ASWM-WS,WS,64,0.7813165976991269,0.023662848000000007,0.018488175891231595,255894,,NOT_MODELED,WS,2,0.018488175891231588,-4.440892098500626e-16
mobilenet_v3,paper_optimum_8x8,conservative_walden,0.5,ASWM-WS,WS,64,0.7822126622435053,0.023662848000000007,0.01850937933034341,254458,,NOT_MODELED,WS,2,0.018509379330343405,-2.220446049250313e-16
mobilenet_v3,paper_optimum_8x8,conservative_walden,1.0,ASWM-WS,WS,64,0.7834783870548453,0.023662848000000007,0.018539329984163976,252858,,NOT_MODELED,WS,2,0.01853932998416397,-4.440892098500626e-16
vgg16,paper_optimum_8x8,optimistic_constant_symbol,0.0,ASWM-WS,WS,16,26.56626131804048,0.6851633151999998,18.202227677138133,1,,NOT_MODELED,WS,4,18.20222767713813,-2.220446049250313e-16
vgg16,paper_optimum_8x8,optimistic_constant_symbol,0.5,ASWM-WS,WS,16,26.574336017391122,0.6851633151999998,18.20776016491446,1,,NOT_MODELED,WS,4,18.20776016491446,0.0
vgg16,paper_optimum_8x8,optimistic_constant_symbol,1.0,ASWM-WS,WS,16,26.58339597907548,0.6851633151999998,18.213967718297702,1,,NOT_MODELED,WS,4,18.213967718297702,0.0
vgg16,paper_optimum_8x8,linear_bit,0.0,ASWM-WS,WS,16,53.8097298450175,0.6851633151999998,36.86845289062857,544,,NOT_MODELED,WS,4,36.86845289062857,0.0
vgg16,paper_optimum_8x8,linear_bit,0.5,ASWM-WS,WS,16,53.81780454436813,0.6851633151999998,36.87398537840488,544,,NOT_MODELED,WS,4,36.8739853784049,5.551115123125783e-16
vgg16,paper_optimum_8x8,linear_bit,1.0,ASWM-WS,WS,16,53.82686450605251,0.6851633151999998,36.88019293178814,544,,NOT_MODELED,WS,4,36.88019293178814,0.0
vgg16,paper_optimum_8x8,conservative_walden,0.0,ASWM-WS,WS,16,51.43173795502773,1.3703266303999997,70.47828016752892,1988,,NOT_MODELED,WS,2,70.47828016752894,2.220446049250313e-16
vgg16,paper_optimum_8x8,conservative_walden,0.5,ASWM-WS,WS,16,51.486546290239076,1.3703266303999997,70.55338548883692,1955,,NOT_MODELED,WS,2,70.55338548883692,0.0
vgg16,paper_optimum_8x8,conservative_walden,1.0,ASWM-WS,WS,16,51.56396512148333,1.3703266303999997,70.65947457498535,1955,,NOT_MODELED,WS,2,70.6594745749854,5.551115123125783e-16
resnet18,c8_r32,optimistic_constant_symbol,0.0,ASWM-WS,WS,21,1.9381293786674845,0.07884963839999998,0.15282080068034778,1,,NOT_MODELED,WS,4,0.1528208006803478,2.220446049250313e-16
